[21:03:07] panel driver: 1357 groups, 2714 lanes total, 0 already done, 0 failed-pending, 4 to run; worklist=panel-review.v2.jsonl conc 2->2 wait_for_fleet=False
[21:03:44] ok  Alasaad v. Wolf.json[A]
[21:05:20] ok  Alasaad v. Wolf.json[B]
[21:06:05] ok  Barnes v. Felix.json[A]
[21:07:06] ok  Barnes v. Felix.json[B]
[21:07:06] main pass done in 239s; lane failures this pass: 0
[21:07:06] panel driver COMPLETE in 239s; lanes done=4 residual-failed=0
[21:07:27] panel driver: 1357 groups, 2714 lanes total, 4 already done, 0 failed-pending, 4 to run; worklist=panel-review.v2.jsonl conc 12->12 wait_for_fleet=False
[21:07:27] would run: _overhaul2/lake/cases/Brownback v. King.json [A]
[21:07:27] would run: _overhaul2/lake/cases/Brownback v. King.json [B]
[21:07:27] would run: _overhaul2/lake/cases/Caniglia v. Strom.json [A]
[21:07:27] would run: _overhaul2/lake/cases/Caniglia v. Strom.json [B]
[21:08:12] panel driver: 1357 groups, 2714 lanes total, 4 already done, 0 failed-pending, 2710 to run; worklist=panel-review.v2.jsonl conc 2->12 wait_for_fleet=True
[21:09:49] ok  Brownback v. King.json[B]
[21:10:34] ok  Brownback v. King.json[A]
[21:13:28] ok  Caniglia v. Strom.json[A]
[21:13:43] ok  Caniglia v. Strom.json[B]
[21:14:37] ok  Carter v. United States.json[B]
[21:15:16] ok  Carter v. United States.json[A]
[21:18:04] ok  Case v. Montana.json[B]
[21:18:59] ok  Case v. Montana.json[A]
[21:19:45] ok  Chatrie v. United States.json[A]
[21:20:10] ok  Chatrie v. United States.json[B]
[21:20:44] ok  Chiaverini v. City of Napoleon.json[A]
[21:22:05] ok  Chiaverini v. City of Napoleon.json[B]
[21:23:02] ok  City of Tahlequah v. Bond.json[B]
[21:23:47] ok  City of Tahlequah v. Bond.json[A]
[21:25:46] ok  Commonwealth v. Herlth.json[A]
[21:25:50] ok  Commonwealth v. Herlth.json[B]
[21:26:38] ok  Culley v. Marshall.json[A]
[21:27:14] ok  District of Columbia v. R.W..json[A]
[21:27:15] ok  Culley v. Marshall.json[B]
[21:27:50] ok  Dupree v. Younger.json[A]
[21:28:07] ok  District of Columbia v. R.W..json[B]
[21:28:54] ok  Dupree v. Younger.json[B]
[21:28:54] ok  Egbert v. Boule.json[A]
[21:29:45] ok  FBI v. Fazaga.json[A]
[21:30:28] ok  FBI v. Fazaga.json[B]
[21:30:41] ok  Egbert v. Boule.json[B]
[21:31:06] ok  FBI v. Fikre.json[A]
[21:31:50] ok  FBI v. Fikre.json[B]
[21:33:35] ok  French v. Merrill.json[A]
[21:34:39] ok  French v. Merrill.json[B]
[21:35:01] ok  Gaetjens v. Winnebago County.json[A]
[21:37:28] ok  Gaetjens v. Winnebago County.json[B]
[21:37:34] ok  Glossip v. Oklahoma.json[A]
[21:38:38] ok  Goldey v. Fields.json[A]
[21:38:48] ok  Glossip v. Oklahoma.json[B]
[21:39:21] ok  Gonzalez v. Trevino.json[A]
[21:40:10] ok  Goldey v. Fields.json[B]
[21:40:23] ok  Gonzalez v. Trevino.json[B]
[21:42:26] ok  Graham v. Barnette.json[B]
[21:42:50] ok  Graham v. Barnette.json[A]
[21:43:03] ok  Gutierrez v. Saenz.json[A]
[21:43:56] ok  Hernandez v. Mesa.json[A]
[21:44:50] ok  Gutierrez v. Saenz.json[B]
[21:45:32] ok  Jimerson v. Lewis.json[A]
[21:45:36] ok  Hernandez v. Mesa.json[B]
[21:46:23] ok  Jimerson v. Lewis.json[B]
[21:48:44] ok  Kansas v. Glover.json[B]
[21:49:05] ok  Kansas v. Glover.json[A]
[21:49:18] ok  Lackey v. Stinnie.json[A]
[21:49:49] ok  Landor v. Louisiana Dept. of Corrections.json[A]
[21:50:17] ok  Lackey v. Stinnie.json[B]
[21:50:29] ok  Landor v. Louisiana Dept. of Corrections.json[B]
[21:51:38] ok  Lange v. California.json[B]
[21:52:27] ok  Lange v. California.json[A]
[22:14:09] ok  Lombardo v. City of St. Louis.json[A]
[22:14:09] ok  Lombardo v. City of St. Louis.json[B]
[22:14:43] ok  Martin v. United States.json[A]
[22:15:33] ok  Martin v. United States.json[B]
[22:15:44] ok  Nance v. Ward.json[A]
[22:16:29] ok  Nance v. Ward.json[B]
[22:18:30] ok  Newman v. Underhill.json[A]
[22:18:34] ok  Newman v. Underhill.json[B]
[22:19:02] ok  Olivier v. City of Brandon.json[A]
[22:19:06] ok  Olivier v. City of Brandon.json[B]
[22:20:42] ok  People v. Hughes.json[B]
[22:21:22] ok  Perttu v. Richards.json[A]
[22:22:04] ok  People v. Hughes.json[A]
[22:22:04] ok  Perttu v. Richards.json[B]
[22:22:39] ok  Postal Service v. Konan.json[A]
[22:22:47] ok  Postal Service v. Konan.json[B]
